Designation,Name,Location,Total_applicants,LinkedIn_Followers,Level,Involvement,Employee_count,Industry,technical_skills,PYTHON,C++,JAVA,HADOOP,SCALA,FLASK,PANDAS,SPARK,NUMPY,PHP,SQL,MYSQL,CSS,MONGODB,NLTK,TENSORFLOW,LINUX,RUBY,JAVASCRIPT,DJANGO,REACT,REACTJS,AI,UI,TABLEAU,NODEJS,EXCEL,POWER BI,SELENIUM,HTML,ML
Cyber Security Analyst,Wipro, Kerala,156,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Java developer,IDESLABS PRIVATE LIMITED, Tamil Nadu,15,80867,Contract , Entry level,1200, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Java Full Stack Developer,IDESLABS PRIVATE LIMITED, Maharashtra,11,80867,Full-time , Entry level,1200, IT Services and IT Consulting,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1
Solution Lead,IDESLABS PRIVATE LIMITED, Telangana,6,80867,Full-time , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Learning Consultant,IDESLABS PRIVATE LIMITED, Telangana,2,80867,Full-time , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
Sr. Test Engineer,IDESLABS PRIVATE LIMITED, Uttar Pradesh,41,80867,Full-time , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Solace Admin,LTIMindtree, Karnataka,3,270280,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Manager - E-Commerce (For Agritech company),ACURA SOLUTIONS LTD, Maharashtra,0,11245,Full-time , Mid-Senior level,110, Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Team Lead,IDESLABS PRIVATE LIMITED, Tamil Nadu,19,80867,Full-time , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
TASC RM ( Leading Pvt. Bank),ACURA SOLUTIONS LTD, Delhi,1,11245,Full-time , Mid-Senior level,110, Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Data Modeler,LTIMindtree, Maharashtra,9,270280,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Business Analyst,IDESLABS PRIVATE LIMITED, Telangana,66,80867,Full-time , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Analyst Consultant (Private Equity),ACURA SOLUTIONS LTD, Karnataka,6,11245,Full-time , Mid-Senior level,110, Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Associate Software Engineer - React JS (Fintech Company),ACURA SOLUTIONS LTD, Uttar Pradesh,7,11245,Full-time , Entry level,110, Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
DevOps Engineer,Wipro, Tamil Nadu,39,6737300,Full-time , Entry level,10001, IT Services and IT Consulting,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Lead,IDESLABS PRIVATE LIMITED, Telangana,88,80867,Full-time , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Administrative Officer,Tata Consultancy Services, Telangana,0,11996967,Full-time , Associate,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mainframe Developer- PAN India,LTIMindtree, Uttar Pradesh,11,270280,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
LTI Hiring for Central Finance.,LTIMindtree, Tamil Nadu,4,270280,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SR UI/UX developer (Frontend + UI/UX development),ACURA SOLUTIONS LTD, Maharashtra,2,11245,Full-time , Entry level,110, Real Estate,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
Sharepoint Migration Engineer,IDESLABS PRIVATE LIMITED, Maharashtra,0,80867,Full-time , Entry level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Sr. Engineer,IDESLABS PRIVATE LIMITED, Tamil Nadu,29,80867,Full-time , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Siebel Developer,LTIMindtree, Karnataka,8,270280,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Required SAP FICO Consultants for Contract,IDESLABS PRIVATE LIMITED, India,17,80867,Contract , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Manual Tester,IDESLABS PRIVATE LIMITED, Telangana,63,80867,Full-time , Entry level,1200, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
Software Engineer,IDESLABS PRIVATE LIMITED, Karnataka,76,80867,Full-time , Entry level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Devops Engineer,IDESLABS PRIVATE LIMITED, Tamil Nadu,52,80867,Full-time , Entry level,1200, IT Services and IT Consulting,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
AWS ENGINEER,IDESLABS PRIVATE LIMITED, Telangana,2,80867,Full-time , Entry level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SAP Security with S4 HANA,IDESLABS PRIVATE LIMITED, Telangana,3,80867,Full-time , Entry level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Branch Relationship Manager,ACURA SOLUTIONS LTD, Maharashtra,0,11245,Full-time , Mid-Senior level,110, Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
SAP PM with FICO,IDESLABS PRIVATE LIMITED, Telangana,11,80867,Full-time , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Hiring for Branch Relationship Manager,ACURA SOLUTIONS LTD, Delhi,0,11245,Full-time , Mid-Senior level,110, Real Estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Business Analyst,IDESLABS PRIVATE LIMITED, Karnataka,59,80867,Full-time , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
